date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,stats_player_seq,season
03/24/2013,away,11320,7,Alabama St.,9,True,11,8,3,win,11 - 8,666552,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/01/2013,home,11320,939,Anderson (IN),9,True,7,5,2,win,7 - 5,668732,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/05/2013,away,11320,464,Omaha,9,True,3,6,-3,loss,3 - 6,669549,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/05/2013,away,11320,464,Omaha,9,True,0,2,-2,loss,0 - 2,669579,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/07/2013,away,11320,771,Western Ill.,9,True,1,2,-1,loss,1 - 2,670646,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/07/2013,away,11320,771,Western Ill.,9,True,3,2,1,win,3 - 2,670737,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/10/2013,away,11320,175,Dayton,9,True,18,10,8,win,18 - 10,671226,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/12/2013,home,11320,649,South Dakota St.,9,True,1,0,1,win,1 - 0,671635,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/12/2013,home,11320,649,South Dakota St.,9,True,11,14,-3,loss,11 - 14,671654,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/14/2013,home,11320,493,North Dakota St.,9,True,4,3,1,win,4 - 3,672642,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/14/2013,home,11320,493,North Dakota St.,9,True,4,6,-2,loss,4 - 6,672747,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/20/2013,away,11320,514,Oakland,9,True,5,4,1,win,5 - 4,674131,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/20/2013,away,11320,514,Oakland,9,True,5,4,1,win,5 - 4,674393,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/21/2013,home,11320,514,Oakland,9,True,0,5,-5,loss,0 - 5,674744,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/21/2013,home,11320,514,Oakland,9,True,1,9,-8,loss,1 - 9,674857,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/26/2013,home,11320,771,Western Ill.,9,True,3,4,-1,loss,3 - 4,675691,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/27/2013,home,11320,771,Western Ill.,9,True,3,5,-2,loss,3 - 5,676213,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/27/2013,home,11320,771,Western Ill.,9,True,4,8,-4,loss,4 - 8,676450,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
04/28/2013,home,11320,771,Western Ill.,9,True,7,3,4,win,7 - 3,676700,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/03/2013,home,11320,464,Omaha,9,True,6,2,4,win,6 - 2,677500,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/04/2013,home,11320,464,Omaha,9,True,0,2,-2,loss,0 - 2,677917,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/04/2013,home,11320,464,Omaha,9,True,0,9,-9,loss,0 - 9,678032,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/05/2013,home,11320,464,Omaha,9,True,6,5,1,win,6 - 5,678207,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/08/2013,home,11320,87,Butler,9,True,4,1,3,win,4 - 1,678603,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/10/2013,away,11320,649,South Dakota St.,9,True,2,6,-4,loss,2 - 6,678827,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/11/2013,away,11320,649,South Dakota St.,9,True,2,5,-3,loss,2 - 5,679139,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/11/2013,away,11320,649,South Dakota St.,9,True,3,8,-5,loss,3 - 8,679170,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/12/2013,away,11320,649,South Dakota St.,9,True,2,8,-6,loss,2 - 8,679277,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/14/2013,away,11320,514,Oakland,9,True,8,5,3,win,8 - 5,679467,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/14/2013,away,11320,514,Oakland,9,True,1,11,-10,loss,1 - 11,679472,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/16/2013,away,11320,493,North Dakota St.,9,True,3,6,-3,loss,3 - 6,679548,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/17/2013,away,11320,493,North Dakota St.,10,True,2,4,-2,loss,2 - 4,679818,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/17/2013,away,11320,493,North Dakota St.,9,True,3,4,-1,loss,3 - 4,679834,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
05/18/2013,away,11320,493,North Dakota St.,9,True,2,6,-4,loss,2 - 6,679931,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312697,2013
